hatespeech,index
ااااااااااااااااااااااااااااا يييييييييييييههههههههههههههههههه مرزنهااا,1
اااه عطاك,1
اابلايك خامجه,1
اادلى جنوب,0
االله تربحه اابرامج تجيبلنا مواضيع ادعوا ااجميع مقاطعة ااقناة اافاجرة ويزيونا االاعلام,1
ااول كبيييير,1
ابارك الهطيف واتمنى النجاح المتواصل,0
ابارك صحتكهوعمرك صحة عرفتو,0
ابارك فيكهوفقك,0
اباضي,1
ابتذال وسفالة بدون,1
ابتسامت اروع,0
ابتسامته اروع,0
ابتعد المستطاع الخطابات عملكم فريقكم افضح الكازي مزايدات الهمستعان,0
ابتلينا مثلما ابتليت السعودية بابن سلمان نهايتهم,1
ابداع,0
ابداولهم,1
ابدعت,0
ابدعتي,0
ابدعتي بالفكرة والبسمة,0
ابدعتي فلة الحنونة معروفة انسانة سلطانة,0
ابدعو,0
ابدعوا,0
ابرام ادعو اجمي اقنا افاجر,1
ابرز للانحطاط تقافة يوصلهالنا عديم,1
ابرز هيواياتوالتلحيس الطحين الوبنى قفلة الصباط,1
ابرشة,0
ابركلك دتوكتور,0
ابصراح روع,0
ابطال,0
ابطال يحميكم ويحفظكم,0
ابطالنا يدافعون حياتنا,0
ابعثونا جونغ معاهم,0
ابعدوها,1
ابقو دائما والتفاهات,1
ابقوا,0
ابقوا بيوتكم اشد الرواري,0
ابقى,0
ابلا,1
ابلا والماني,1
ابلايك خامجه,1
ابلدكم,1
ابله,1
ابهم ماخيب,1
ابهيم حيحون,1
ابى المتحضر,0
ابيض الخد,0
اتبرعوا,0
اتبع اﻻنتي,1
اتتففوه ياحاوين,1
اتتففوووووووووه ياحاوين,1
اتجمع يلزمهم قصانير,1
اتجيبو المابونة تفوح,1
اتحاد تحدثون اتحاد الشغل اتحاد سليانة شطر يبيت لشر الاتحاد,0
اتحاد يعفي موظفي يعانون امراضا,0
اتحداك,1
اتحداكم تجبدو,1
اتحفنا بالاحان,0
اتخاوف,1
اتخذوا الهازمة لحفاظ احبابنا حولنا دموع الحسرة الندم لحد,0
اتزورنا,0
اتزيد البهاما ابهيم,1
اتشيخش سخفا,1
اتضح بالفعل وشريف وغيور بلادكهوشعبك شكالف الاعماق,0
اتعس ةالتلفزية فسحقا لسامي السارق الديوث الدعوة عصبة لجمهور الرديء,1
اتعس ةالتلفزية فسحقا لسامي السارق الديوث الدعوة عصبة للجمهور الرديء,1
اتعلم,1
اتفاقية,0
اتفرجنا,0
اتففح ماريتش مسسيت لاسيت,1
اتفكرونا مرضين اطباء قابلات مستشفي التوليد الولدان بالمنستير نداء اتفكرونة نواقص,0
اتفه,1
اتفه التفاهة,1
اتفه انجبت,1
اتفه انسانة ريتهاا ممثلة منين جك الموهبة تفهاااا ساخيفة عفشة متصلحش كيما حانوت كسكروتات تعلمت كلمتن بسوري حقوق لانسان,1
اتفه ثﻻثة مسرحيات ردتوه نتخاطر اعمالو التلفزيونية,1
اتفه ديكور مسروق مسروق لبنان يحتوى الجراة يعكس الضيوف يتقن مجاراة يبدي رايه اللزوم يقاطع الضيوف يفرض وجهة مسار حاااااااااالة,1
اتفه سويقة لونها الازرق يزرقوا,1
اتفه مكانش,1
اتفه هيك يوجد يتسمى وجيعة التافه,1
اتفه يقاصي حياتو نطلبلو يتوب يبدللو,1
اتفهك,1
اتفهكم,1
اتفو,1
اتفوه,1
اتفوه اقزام,1
اتفوه القحبة وصرم العاهرة,1
اتفوه هالاشكال,1
اتفوووووه,1
اتفوووووه الرقاصة والي,1
اتفوووووه عايك عاى يفرج,1
اتفووووووووه,1
اتفي,1
اتقوا يزيكم التقطيع والترييش اعراض الغيرة والحسد والكره والشماتة الناجح هذاشيء ياسف يحزن لازموا يتجاهلكم ويتجاهل اعمالكم وافعالكم وشتيمتكم استغفرالله يظهرلي شفتوا وعرفتوا للتونسي نقمة رحمة ارحموا يرحمكم السماء,1
اتقي فوات الاوان اسبركم جهنم,1
اتكملو,0
اتلفت عمال المصانع,0
اتلقحو الحصبة,0
اتم الكلمت,1
اتمنى اﻻستمرارية ومزيدا التالق لصحفي وحظ,0
اتمنى اﻻستمرارية ومزيدا التالق للصحفي وحظ,0
اتمنى المثلين جعفور,0
اتمنى النجاح,0
اتمنى مادمت شعبك,0
اتمنيت اصرفق ابردلي مخمجوا عينوا الفاضل ايقلو ايتاء الفعل التجاهر حراااااام نطالب بحريتي,1
اتمنيت راني نمثل خبرة ومثلت انتاجا الجايا,0
اتنجمش اتقلي نحنا امكانياتنا ضعيفة,0
اتهين,1
اتور امتاع ايحش,1
اتينا التمريض وزارة لانملك ناجي انسانيتكهوامانتكهوطنيتك ناجي نساء ورجال نام الشوارع لعراء لانملك يومنا نملك وابسط طالت بطالتنا جعنا مشنا التجانا الاعتصام لقد وعدونا وعودا جاناك كلنا المظلم الهطيف,0
اثار,1
اثبت الخوف ظاويا لكني يرفع التحدي ؤلاء الخونة فغانسا,0
اثبت معدنك يصدا اسال صحتكهوالشكر موصول استثناء يحميكم ويحفظكم الطيبة والخارج يرفع والوباء ويرحمنا ورحمت,0
اثر,1
اثر نفقات قيمة الدينار التوازن لستاغ,0
اثرت اعجاب وتقدير باسر بذلت وستبذل,0
اثعال,1
اثقل,1
اجابا,1
اجبارى,0
اجبش لعايلة والاحباء,0
اجت ادك,0
اجتماع وزراء السابقين لتدارس خطة مقاومة,0
اجتهادك,0
اجد الوصف متعلقا بالاعلام بداء محاولت التعتيم الجبارة يبذل الهطيف تجنيب القاتل عادتي مدح الاشخاص التحدي يستدعي المنصفين اعترافا بفضل والتش بالساقطين شفير سيادة زلت تسقط,0
اجد لوصفك ندعيلك صلاتي وتكمل ونتعداو بخير بصحة وعافية الاسد,0
اجدع,0
اجراءات,0
اجراءات بالجملة لتوقي,0
اجرنا,1
اجعل,0
اجلك,1
اجمال واجمل لكون مثله ورجعلوا وليدوا ونعولها بشفاء,0
اجمعين,0
اجمل,0
اجمل ابنات يسترهم ويحميهم,0
اجمل اتفرجت,0
اجمل اجمل,0
اجمل واحلى مانقلك,0
اجملها اجمل عيونها,0
اجهل صباطي لاعبة,1
اجوا,1
اجوهكم,1
احباء التفريك التنبير انضموا ﺻﻌﺎﻟﻴﻚ التفريك,1
احباب اعدائ المسال لاحرار,1
احبش الخرجا,0
احبك,0
احبك النخاع والتقدير يحفضك ويقدرك االزوالي,0
احبك كبرت باعين الكثير,0
احبل,1
احبها,0
احبها الاطلاق,1
احبها تمثيلها,0
احبها دورها,0
احترامات,1
احتراماتي,0
احتراماتي سيدى,0
احتراماتي لجعفر,0
احتراماتي نحبش,0
احتراماتي ياريتك فسرتلهم الفرق انشاد الديني والانشاد الصوفي السلامية تمدح الاولياء الصالحين يهدي,0
احترامتي,0
احترامي جعفور,0
احترامي لقرارتكم تسكير امر محتم مسافرة والغيت احتراما وحفظ لصحة لذلك,0
احترامي للبعض يقرى ببقى تلفزتنا الموقره ويعرف معندوش بطاقة احتراف دوحي يااااااااااااا,1
احترامي يزداد تقديري اطﻻلة ﻻ قضايا شعبه ﻻ,0
احترماتي,1
احترمت اخرة,1
احترمك الثقة اخلاصك لوطن والباقي,0
احترمه,0
احترمي,0
احتقر,1
احتقرك طاهر,1
احداثو,0
احذي,1
احرا,1
احرف,0
احرف خيت عصباح,1
احرف خيت غاسبيي تقعيد,1
احزن,0
احسان,0
احسنت,0
احسنت صنعن واقفة رجالها اكيييييييييد,0
احسنت ولييد ابهرتنا كلعادا,0
احسنلك,1
احشمو روحكم فصييييييييييييد,1
احشموا وبرامجكم تفحة وخمجة خماج,1
احصا بايقا اليس نتظ,1
احصا لعايل لصيدليا ستاخذن,1
احفظنا,0
احكيوا العالمين بالمعالم وتاكسيات ولوجات,0
احكيولنا عالجراد تقتلونا بالفجعة فيسع,0
احلام كمرجي تبدو انيقة,0
احلاه هك البتيسام يحفضهم الحسيدين ويخليهم,0
احلاها,0
احلاها مزيد النجاح التالق,0
احلاهم لخوات يتروجلوا,0
احلة خصتن مسكتتش المقداد اوصل المعلومة,0
احلكم شاء يستركم رايح اتعرس ايكمل بخير شاء,0
احلى,0
